band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc,other_count_per_doc,distinctiveness_score
mid_5_5_to_6_5,negative effects,2,164,142,0.03544682975536695,0.040938592111832255,0.028422376895622804,0.01251621521620945
mid_5_5_to_6_5,high school,2,273,163,0.04068896655017474,0.06814777833250125,0.05702840058720968,0.011119377745291578
mid_5_5_to_6_5,even though,2,253,237,0.05916125811283075,0.06315526709935097,0.054437536638302586,0.008717730461048387
mid_5_5_to_6_5,take care,2,168,131,0.0327009485771343,0.04193709435846231,0.03391267486222976,0.008024419496232553
mid_5_5_to_6_5,higher education,2,201,129,0.03220169745381927,0.05017473789316026,0.04346262774922256,0.006712110143937695
mid_5_5_to_6_5,another reason,2,163,161,0.04018971542685971,0.04068896655017474,0.03452693952806224,0.0061620270221125
mid_5_5_to_6_5,main reason,2,169,163,0.04068896655017474,0.04218671992011982,0.03614225176020406,0.0060444681599157585
mid_5_5_to_6_5,public transport,2,208,114,0.028457314028956564,0.05192211682476285,0.04612601748567983,0.0057960993390830245
mid_5_5_to_6_5,first foremost,2,206,205,0.05117324013979031,0.05142286570144783,0.046316757111968185,0.005106108589479644
mid_5_5_to_6_5,human beings,2,170,140,0.034947578632051925,0.042436345481777334,0.03750880373601738,0.004927541745759954
mid_5_5_to_6_5,air pollution,2,145,110,0.02745881178232651,0.03619570644033949,0.031983488913395,0.004212217526944485
mid_5_5_to_6_5,public transportation,2,129,84,0.020968547179231155,0.03220169745381927,0.02799846845984493,0.004203228993974337
mid_5_5_to_6_5,artificial intelligence,2,178,95,0.023714428357463804,0.044433349975037444,0.04032542416722824,0.004107925807809207
mid_5_5_to_6_5,education system,2,113,80,0.0199700449326011,0.028207688467299052,0.024162780839338704,0.004044907627960347
mid_5_5_to_6_5,history house,2,151,111,0.027708437343984024,0.037693459810284574,0.03388577322649529,0.0038076865837892854
mid_5_5_to_6_5,earn money,2,113,102,0.0254618072890664,0.028207688467299052,0.02543450614667232,0.0027731823206267325
